Text,Predicted,Actual,isCorrect

حظر خامنئي المجرم شراء يعد مجزرة متعمدة بحق الشعب الإيراني نقل موقع مريم رجوي موقف رئيسة الجمهورية المنتخبة للمقاومة الإيرانية تصريحات خامنئي المجرم حول حظر استيراد لقاح كورونا الولايات المتحدة بريطانيا فرنسا,1,1,True

إعطاء جرعة لقاح الحصول لقاح كورونا السعودية وفق الأولوية للمواطن والمقيم خلال تطبيق,1,1,True

حفظه الله يتلقى الجرعة الأولى لقاح كورونا كوفيد,1,1,True

لقاحات آمنة خوف يضمن التوزيع العادل,1,1,True

تقول يجرى مراجعة خطوط الإنتاج بالشركة القابضة للقاحات لإنتاج لقاح توفيره الدول الإفريقية,1,1,True

وانتهى الفريق الدراسات السريرية ونشر البحث وستبدأ التجارب السريرية الموافقات اللازمة وقد تم تطوير لقاح سارس كوف المسبب لكورونا باستخدام تقنية لقاحات الحمض النووي,1,1,True

عاجل وزارة الصحة حصل الجرعة الأولى لقاح كورونا سيأخذ الثانية موعدها السعودية,1,1,True

السفير الأميركي السعودية تلقيه لقاح أؤكد للمجتمع الأميركي اللقاح آمن وفعال والتنظيم والكفاءة السعودية شهدتهما اليوم كانا غاية الروعة,1,1,True

تصريحات وبس الحكومة السيسي علي اللقطة مجاني لقاح كورونا مرة فلوس ومرة بيجمعوا رجال الاعمال صندوق تحيا مصر لغير القادرين وبعدين وزير المالية ماكان متوفر عندهم فلوس اللقاح دلوقت مفيش معندوش ومستني التبرعات او ضرائب علي المواطن,1,0,False

الاتحاد الاوروبي تفاوض لشراء لقاحات الكورونا الشركات المختلفة ككتلة واحدة الاسعار اللي حصلو عليها لكل جرعة مطعوم فايزر بيونتك استرازانيكا اكسفورد موديرنا سانوفي جونسون اند جونسون,1,1,True

وصول دفعة اللقاح الروسي سبوتنيك ضد كوفيد غد الجزائر,1,1,True

حميات تكشف تفاصيل مركز لتلقى لقاحات بالمحافظة,1,1,True

الدولة ملأت بلادنا باليورانيوم نريد لقاحا,1,1,True

أتيحت فرصة لقاح أسبوع اقتناعي الكامل بجدواه وتحصينه ومنعني حينها ظرف طارئ التطعيم وللأسف تمكن مني الفيروس اليوم اللقاح مفتاح النجاة الفيروس لاتهملوه,1,1,True

ففي تلقى نتنياهو لقاح فايزر الهواء مباشرة كتدشين إطلاق حملة تطعيم وطنية عالية الوتيرة شهدت تلقي مليون إسرائيلي حوالي سكان البلاد للتطعيم أسبوعين وهي أعلى نسبة العالم,1,1,True

أعلنت الإمارات أنها سجلت لقاح سبوتنيك الروسي ضد كورونا للاستخدام الطارئ ليكون بذلك اللقاح الثالث يعتمد وقالت نتائج الدراسات أظهرت اللقاح طرحته روسيا فعال للوقاية كوفيد ونتج عنه توليد أجسام مضادة للفيروس ويتوافق بشكل تام وكامل اللوائح والقوانين,1,1,True

تلقوا الجرعة الثانية رئيس هيئة الأركان العامة قائد قوات الدفاع الجوي الملكي السعودي قائد قوة الصواريخ الإستراتيجية قائد القوات البحرية الملكية السعودية,1,1,True

دة انتو خاصمين مليارات المرتبات والمعاشات بقالكو شهور ولاد الوسخة لقاح ايه اللي بفلوس,1,0,False

تلقى الرئيس الإندونيسي جوكو ويدودو جرعة لقاح للوقاية فيروس كورونا المستجد البلاد اليوم الأربعاء الوقت أطلقت الحكومة برنامجا طموحا لتطعيم مليون شخص أكبر دولة العالم عدد السكان,1,1,True

الرئيس الأميركي المنتخب جو يدلي بتصريح حول لقاح فيروس,1,1,True

تلقى الرئيس الجرعة الأولى لقاح مضاد لفيروس كورونا المستجد,1,1,True

وأمريكا الأسوار تهدي طفل لعبة للموت عنقودية,1,1,True

معالي مدير الأمن العام الفريق ركن خالد بن قرار الحربي يتلقى الجرعة الأولى لقاح فيروس كورونا,1,1,True

وزارة الصحة الاتفاق شركة استر ازينيكا توفير مليوني جرعة لقاح,1,1,True

صدر عدة احكام بحق شركة فايزر وقد مت بمبلغ مليار بتهم مختلفة تتراوح تعريض الصحة العامة للخطر إخفاء عوارض المنتج الاحتيال,0,-1,False

العلامةعبدالله بن بيه يتلقى لقاح كورونا,1,1,True

شاهد يفوتك وليام شكسبير عايش ويتلقى لقاح كورونا,0,1,False
شاهد يفوتك وليام شكسبير عايش ويتلقى لقاح كورونا,0,1,False

نتائج مطمئنة ردود الفعل التحسسية لقاح موديرنا نادرة,1,1,True

اليوم بحمد الله الساعة تم الجرعة الثانية لقاح فايزر إدخال المعلومات للحصول الجواز الصحي شكرا للقيادة وشكرا لوزارة الصحة وشكرا لشباب وشابات الوطن بحق يبيضون الوجه,1,1,True

قيد الإنجاز لقاح تركي يحارب كورونا بـ الجسيمات الشبيهة,1,1,True

خادم الحرمين الشريفين الملك سلمان يتلقى الجرعة الأولى لقاح كورونا,1,1,True

أكبر الباكر أعتقد أنه سيتعين المسافرين إبراز شهادة تثبت حصولهم لقاح كوفيد يتسنى الصعود,1,1,True

تطعيم شخصا دقيقة ضد وبحلول القادم سيتم تطعيم المواطنين المملكة المتحدة,1,1,True

تتحول أميركا دولة اشتراكية يقول البعض قطعا فأميركا قامت الرأسمالية أكد الأباء المؤسسون الرأسمالية المتوحشة والجائعة للربح أثبتت فشلها الإشتراكية السوفيتية أثبتت فشلها الحل تطعيم الرأسمالية بشيء مباديء الإشتراكية والعكس صحيح,1,0,False

وعد قليل يفتتح مليون مركز تلقي لقاح ال يوم الأولى رئاسته وعد كبير جدا,1,1,True

الراجل السفاح سايب الناس تموت عمد علشان ميديهمش لقاح كورونا ببلاش أزمة كورونا كاشفة جبروت وسادية السيسي ناحية ناحية أخرى غيبوبة المصريين وخنوعهم,1,1,True

يتلقى الجرعة الأولى لقاح كورونا,1,1,True

صاحب السمو الملكي الامير مقرن بن عبدالعزيز ال سعود يتلقى لقاح كورونا وحديث مراسل الاخبارية بكل عفويه وصدق حفظك الله ودام عزك وطن قيادة سيدي خادم الحرمين الشريفين وولي عهده الامين,1,1,True

عامل القطاع الصحي تلقوا جرعتهم الأولى لقاح وأنا بدوري انضممت إليهم وتلقيت التطعيم,1,1,True

عبيدات مفاوضات لتأمين كمية كبيرة مطعوم سينوفارم الصيني تصل مليوني جرعة خلال أسبوع أسبوعين,1,1,True

الملك والأمير الحسن بن طلال والأمير الحسين بن عبدالله الثاني ولي العهد يتلقون لقاح كورونا عيادة الخدمات الطبية الملكية بالديوان الملكي الهاشمي,1,1,True

شاهد ردة فعل السفير الأميركي أخذه لقاح مركز اللقاحات بـ,1,1,True

معهد باستور ولاية عبر كافة ارجاء الوطن معنية بعملية توزيع لقاح سبوتنيك الحصص الموجهة للولايات ددت عدد سكانها ومع عدد الاصابات بالفيروس المسجلة مستواها,1,1,True

خبر يسعد محب للخير تتفاوض الشقيقة شركات الأدوية العالمية اجل توفير لقاح لليمن الشقيق ودول افريقية دخل منخفض الله يعز بلد السلام والأمان والخير والإنسانية والعطاء والإحسان عزاء للحاقدين والهمج الرعاع والجزائر ستتقاسم اللقاح شقيقتها تونس,1,1,True

يرفض البعض اللقاح المضاد لفيروس طورته شركة فايزر الأميركية قائلين إنهم يفضلون انتظار اللقاح الإنجليزي بدلا,1,1,True

يتلقى لقاح,1,1,True

بيانات تظهر إصابة الإسرائيليين بـ جرعتين لقاح فايزر,-1,0,False

دكتور احمد الفراج هيلعلع علي تليجرام والي مكتبهوش هيكتبه الديموكراس فكروني بغلطة مبارك العظمي فصل الانترنت تقريبا الغباء السياسي ليه لقاح بياخدو السياسيين اجباري,0,0,True

اللاجئون السوريون يتلقون لقاح,1,1,True

تغطية قناة سعادة السفير انتي روتوڤووري سفير المملكة يتلقى الجرعة الثانية لقاح,1,1,True

فرنسا تعلن الموافقة استخدام لقاح موديرنا فايزر,1,1,True

خرائط جوجل ستعرض قريب مواقع لقاح كوفيد كورونا,1,1,True

تجعل فعالية اعرف أهم الأطعمة والمشروبات الضارة للتفاصيل,1,1,True

للطلب والاستفسار التواصل عبرالخاص,0,1,False

مليونير كندي وزوجته ينتحلان صفة عمال نظافة للحصول لقاح كورونا تخطى قائمة الانتظار للحصول اللقاح,1,0,False

وعد ميركل لشعبها انه بحلول سيكون شخص يعيش الأراضي الألمانية وصله عرض للحصول لقاح كورونا لماذا اطلعكم الخبر لان استراتيجية التلقيح بالتنسيق الاتحاد الأوروبي اسبانيا ايطاليا الخ يعني انه بداية الموسم القادم سيشهد عودة الجماهير,1,1,True

